Level,Hierarchical structure,Code,Class title,Class definition
4,Detail,1431111,Propane and propane mixes,Normally straight-chain gaseous paraffinic (saturated) hydrocarbon or compound (C3H8) extracted from natural gas or refinery gas streams. It is a colourless gas that boils at a temperature of -42° Celsius. Cover propane mixes.
4,Detail,1431112,Butane and butane mixes,Normally straight-chain or branch-chain gaseous paraffinic hydrocarbon (C4H10) extracted from natural gas or refinery gas streams. It is a colourless gas that boils at a temperature of -1° Celsius. Covers butane mixes.
3,Subclass,143112,Natural gas liquids (except LPGs),"This subclass comprises natural gas liquids, except liquefied petroleum gases (LPGs), and covers lease condensate and pentanes plus."
4,Detail,1431121,Ethane,Straight-chain gaseous paraffinic (saturated) hydrocarbon (C2H6) extracted predominantly from natural gas streams. It is a colourless gas that boils at a temperature of -88° Celsius.
4,Detail,1431122,Lease condensate,Light liquid hydrocarbons recovered from lease separators or field facilities at associated and non-associated natural gas wells. Mostly pentanes and heavier hydrocarbons. Normally enter the crude oil stream after production.
4,Detail,1431123,Pentanes plus (including plant condensate),"Mixture of mainly pentanes and heavier hydrocarbons that ordinarily contains butanes. Pentanes plus (also known as natural gasoline) is obtained from the processing of raw gas, condensate or crude oil."
4,Detail,1431124,"Other natural gas liquids (NGLs) and related products, n.e.c.","Natural gas liquids other than ethane, propane and butane, and similar products."
1,Group,144,Coal,"This group comprises coal, a combustible black (hard coal) and brownish-black (brown coal) rock consisting of more than 50 percent by weight and more than 70 percent by volume of carbonaceous material. It is formed from plant remains that have been compacted, hardened and chemically altered, and metamorphosed by heat and pressure over geologic time."
2,Class,14411,Hard coal,"This class comprises black coal ranked as hard coal, which includes anthracite and bituminous coal. Hard coal refers to coal of gross calorific value equal to or greater than 24,000 kJ/kg, on an ash-free but moist basis and with a mean random reflectance of vitrinite of at least 0.6 percent."
3,Subclass,144111,Anthracite,"This subclass comprises anthracite, a high rank hard, lustrous black coal destined primarily for residential and industrial (as steel making) or commercial applications. It has generally less than 10 percent volatile matter and a high carbon content (about 90 percent fixed carbon). Its gross calorific value is equal to or greater than 24,000 kJ/kg, on an ash-free but moist basis."
4,Detail,1441111,Anthracite,"High rank hard lustrous black coal destined primarily for residential and industrial (as steel making) or commercial applications. It has generally less than 10 percent volatile matter and a high carbon content (about 90 percent fixed carbon). Its gross calorific value is equal to or greater than 24,000 kJ/kg, on an ash-free but moist basis."
3,Subclass,144112,Bituminous coal,"This subclass comprises coking or metallurgical coal and other bituminous coal. Bituminous coal is a medium rank coal used for gasification, industrial coking and heat raising, and residential heat raising. It is characterized by higher volatile matter than anthracite (more than 10 percent) and lower carbon content (less than 90 percent fixed carbon). Its gross calorific value is equal to or greater than 24,000 kJ/kg, on an ash-free but moist basis."
4,Detail,1441121,Coking (metallurgical) coal,"Bituminous coal with a quality that allows the production of a coke suitable to support a blast furnace charge. Its gross calorific value is equal to or greater than 24,000 kJ/kg, on an ash-free but moist basis."
4,Detail,1441122,Other bituminous coal,"Other bituminous coal mainly used for steam raising purposes. It is characterized by higher volatile matter than anthracite (more than 10 percent) and lower carbon content (less than 90 percent fixed carbon). Its gross calorific value is equal to or greater than 24,000 kJ/kg, on an ash-free but moist basis."
2,Class,14412,Brown coal,"This class comprises softer brown coal, which includes sub-bituminous coal and lignite. Brown coal refers to coal of gross calorific value of less than 24,000 kJ/kg, on an ash-free but moist basis, and a mean random reflectance of vitrinite of less than 0.6 percent."
3,Subclass,144121,Sub-bituminous coal,"This subclass comprises sub-bituminous coal, a non-agglomerating coal with a gross calorific value equal to or greater than 20,000 kJ/kg and less than 24,000 kJ/kg, containing more than 31 percent volatile matter on a dry mineral matter free basis."
4,Detail,1441211,Sub-bituminous coal,"Non-agglomerating coal with a gross calorific value equal to or greater than 20,000 kJ/kg and less than 24,000 kJ/kg, containing more than 31 percent volatile matter on a dry mineral matter free basis."
3,Subclass,144122,Lignite,"This subclass comprises lignite, a non-agglomerating coal with a gross calorific value less than 20,000 kJ/kg, containing more than 31 percent volatile matter on a dry mineral matter free basis."
4,Detail,1441221,Lignite,"Non-agglomerating coal with a gross calorific value less than 20,000 kJ/kg, containing more than 31 percent volatile matter on a dry mineral matter free basis."
1,Group,145,Nuclear fuel and other energy products,"This group comprises nuclear fuel, and fuel wood, fuel products of waste wood, other solid fuel products n.e.c.; and steam and heated or cooled air or water."
