Level,Hierarchical structure,Code,Class title,Class definition
4,Detail,5212111,Local limousine services,"Local passenger transportation by luxury automobile, not operated on regular schedules or routes, and available only by reservation, or without reservation to passengers as they leave an airport or other transportation terminal. In the case of travel from an airport or other transportation terminal, the fee is on the basis of the distance to the destination, calculated on a zone basis; there may be a minimum charge. In other cases, the fee charged is on the basis of the length of time for which the vehicle is reserved; there is normally a minimum length of time and/or a minimum tariff. The vehicle and driver are available to make a series of trips as directed by the customer during the period for which the vehicle has been reserved."
3,Subclass,521212,Local taxi services and taxi dispatch services,"This subclass comprises passenger transportation by automobile, not operated on regular schedules or routes, and available on demand. The fee charged to passengers is on the basis of distance travelled. Also comprises taxi dispatch services."
4,Detail,5212121,Local taxi services,"Passenger transportation by automobile, not operated on regular schedules or routes, and available on demand. The fee charged to passengers is on the basis of distance travelled."
4,Detail,5212122,Taxi dispatch services,Taxi dispatch services.
2,Class,52122,Interurban and rural bus passenger transportation services,"This class comprises long distance passenger transportation by road, over fixed routes on a regular schedule. Long distance transportation is generally between metropolitan areas. Service is either part of an interurban network and connecting services to other destinations are available or service is intended to serve a particular destination, and is not designed to connect to a network of interurban service. Covers charges for incidental transportation of passenger baggage."
3,Subclass,521221,Interurban and rural bus passenger transportation services,"This subclass comprises long distance passenger transportation by road, over fixed routes on a regular schedule. Long distance transportation is generally between metropolitan areas. Service is either part of an interurban network and connecting services to other destinations are available or service is intended to serve a particular destination, and is not designed to connect to a network of interurban service. Covers charges for incidental transportation of passenger baggage."
4,Detail,5212211,Interurban and rural bus passenger transportation services,"Long distance passenger transportation by road, over fixed routes on a regular schedule. Long distance transportation is generally between metropolitan areas. Service is either part of an interurban network and connecting services to other destinations are available or service is intended to serve a particular destination, and is not designed to connect to a network of interurban service. Covers charges for incidental transportation of passenger baggage."
2,Class,52123,School bus services,"This class comprises transportation of students between home and school on a regular basis. Service is operated on regular routes and schedules that are designed to accommodate the home locations of individual passengers. The vehicles used are typically buses but may include smaller vehicles such as vans and cars, and may include vehicles accessible to people using wheelchairs and other mobility aids. Passengers are not charged a per-trip fee. Covers school bus services whether paid for by passengers or by contracts."
3,Subclass,521231,School bus services,"This subclass comprises transportation of students between home and school on a regular basis. Service is operated on regular routes and schedules that are designed to accommodate the home locations of individual passengers. The vehicles used are typically buses but may include smaller vehicles such as vans and cars, and may include vehicles accessible to people using wheelchairs and other mobility aids. Passengers are not charged a per-trip fee. Covers school bus services whether paid for by passengers or by contracts."
4,Detail,5212311,School bus services,"Transportation of students between home and school on a regular basis. Service is operated on regular routes and schedules that are designed to accommodate the home locations of individual passengers. The vehicles used are typically buses but may include smaller vehicles such as vans and cars, and may include vehicles accessible to people using wheelchairs and other mobility aids. Passengers are not charged a per-trip fee. Covers school bus services whether paid for by passengers or by contracts."
2,Class,52124,Other transit and passenger transportation services by road,This class comprises long distance passenger transportation by chartered bus; local passenger transportation by chartered bus; other long distance passenger transportation services by road (except fixed route); shuttle service; other local fixed route passenger transportation service by road; special needs urban transit service; and local shared-ride passenger transportation service. Rental or leasing services of road passenger transportation vehicles with operator or driver are included.
3,Subclass,521241,Long distance passenger transportation by chartered bus,"This subclass comprises long distance passenger transportation for a specific occasion by road vehicles with sufficient interior height for a person to stand, typically buses but not limousines or taxis, with driver. Service is not operated on regular schedules or routes, and is available only by reservation of the entire vehicle, for which a fee is charged to the party who makes the reservation. The party who makes the reservation may or may not charge the passengers an explicit fee for the transportation. Covers use of vehicles that are accessible to passengers using wheelchairs and other mobility aids."
4,Detail,5212411,Long distance passenger transportation by chartered bus,"Long distance passenger transportation for a specific occasion by road vehicles with sufficient interior height for a person to stand, typically buses but not limousines or taxis, with driver. Service is not operated on regular schedules or routes, and is available only by reservation of the entire vehicle, for which a fee is charged to the party who makes the reservation. The party who makes the reservation may or may not charge the passengers an explicit fee for the transportation. Covers use of vehicles that are accessible to passengers using wheelchairs and other mobility aids."
3,Subclass,521242,Local passenger transportation by chartered bus,"This subclass comprises local passenger transportation for a specific occasion by road vehicles with sufficient interior height for a person to stand, typically buses but not limousines or taxis, with driver. Service is not operated on regular schedules or routes, and is available only by reservation of the entire vehicle, for which a fee is charged to the party who makes the reservation. The party who makes the reservation may or may not charge the passengers an explicit fee for the transportation. Covers use of vehicles that are accessible to passengers using wheelchairs and other mobility aids."
4,Detail,5212421,Local passenger transportation by chartered bus,"Local passenger transportation for a specific occasion by road vehicles with sufficient interior height for a person to stand, typically buses but not limousines or taxis, with driver. Service is not operated on regular schedules or routes, and is available only by reservation of the entire vehicle, for which a fee is charged to the party who makes the reservation. The party who makes the reservation may or may not charge the passengers an explicit fee for the transportation. Covers use of vehicles that are accessible to passengers using wheelchairs and other mobility aids."
3,Subclass,521243,Other long distance passenger transportation services by road (except fixed route),"This subclass comprises long distance passenger transportation by luxury automobile, not operated on regular schedules or routes, and available only by reservation. The operator carries as many parties having similar origins or destinations as can be accommodated on each trip."
4,Detail,5212431,Other long distance passenger transportation services by road (except fixed route),"Long distance passenger transportation by luxury automobile, not operated on regular schedules or routes, and available only by reservation. The operator carries as many parties having similar origins or destinations as can be accommodated on each trip."
3,Subclass,521244,Shuttle services,"This subclass comprises passenger transportation operated on regular routes and on regular schedules or on regular routes on an unscheduled but frequent basis. Service is typically between a limited number of pick-up and drop-off points, with no local service for other points along the route; or on a circular route with frequent stops. The service is not part of a network. As many passengers as can be accommodated are carried on a first-come first-served basis. Passengers may or may not be charged a per-trip fee. Covers shuttle service whether paid for by passengers or by contracts."
4,Detail,5212441,Shuttle services,"Passenger transportation operated on regular routes and on regular schedules or on regular routes on an unscheduled but frequent basis. Service is typically between a limited number of pick-up and drop-off points, with no local service for other points along the route; or on a circular route with frequent stops. The service is not part of a network. As many passengers as can be accommodated are carried on a first-come first-served basis. Passengers may or may not be charged a per-trip fee. Covers shuttle service whether paid for by passengers or by contracts."
3,Subclass,521245,Other local fixed route passenger transportation services by road,"This subclass comprises local fixed route passenger transportation service by road except urban transit service, transportation of students between home and school on a regular basis, and shuttle service. Covers employee transportation to work arranged by the employer and operated on regular routes and schedules. Vehicles used are typically buses but may be smaller vehicles such as vans and cars, and may be accessible to people using wheelchairs and other mobility aids. Passengers are not charged a per-trip fee. Covers employee transportation to work whether paid for by passengers or by contracts. Carpool transportation is provided by arranging and administering pools and providing a vehicle to members of each pool in exchange for a monthly fee to cover operating costs. One or more pool members must act as driver."
4,Detail,5212451,Other local fixed route passenger transportation services by road,"Local fixed route passenger transportation service by road except urban transit service, transportation of students between home and school on a regular basis, and shuttle service. Covers employee transportation to work arranged by the employer and operated on regular routes and schedules. Vehicles used are typically buses but may be smaller vehicles such as vans and cars, and may be accessible to people using wheelchairs and other mobility aids. Passengers are not charged a per-trip fee. Covers employee transportation to work whether paid for by passengers or by contracts. Carpool transportation is provided by arranging and administering pools and providing a vehicle to members of each pool in exchange for a monthly fee to cover operating costs. One or more pool members must act as driver."
3,Subclass,521246,Special needs urban transit services,"This subclass comprises transportation of passengers who have physical or cognitive impairments that make them unable to use regular urban transit. Transportation is by shared vans, minibuses or automobiles, is not operated on regular schedules or routes, and is available only to registered passengers by reservation. Passengers are transported to and from their individual homes, workplaces and other locations. Passengers are charged a per-trip fee. Covers special needs urban transit service whether paid for by passengers or by contracts."
4,Detail,5212461,Special needs urban transit services,"Transportation of passengers who have physical or cognitive impairments that make them unable to use regular urban transit. Transportation is by shared vans, minibuses or automobiles, is not operated on regular schedules or routes, and is available only to registered passengers by reservation. Passengers are transported to and from their individual homes, workplaces and other locations. Passengers are charged a per-trip fee. Covers special needs urban transit service whether paid for by passengers or by contracts."
3,Subclass,521247,Local shared-ride passenger transportation services,"This subclass comprises local shared-ride service, that is, local shared passenger transportation operated on request, typically between an airport and homes, offices or hotels specified by passengers. The operator carries as many parties having similar origins or destinations as can be accommodated on each trip."
4,Detail,5212471,Local shared-ride passenger transportation services,"Local shared-ride service, that is, local shared passenger transportation operated on request, typically between an airport and homes, offices or hotels specified by passengers. The operator carries as many parties having similar origins or destinations as can be accommodated on each trip."
3,Subclass,521248,"Rental of road passenger transportation vehicles, with operator","This subclass comprises rental or operating leasing services of passenger automobiles and light vans with operator or driver, that is, chauffeur-driven car-hire services, wherever delivered, generally supplied on a time basis to a limited number of passengers and frequently involving transportation to more than one destination. Also comprises rental or operating leasing services of buses or coaches with operator or driver for a period of time, not generally dependent on distance. The renter defines how and when the vehicles will be operated, determining schedules, routes, and other operational considerations."
4,Detail,5212481,"Rental of passenger automobiles and light vans, with operator","Rental or operating leasing services of passenger automobiles and light vans with operator or driver, that is, chauffeur-driven car-hire services, wherever delivered, generally supplied on a time basis to a limited number of passengers and frequently involving transportation to more than one destination."
4,Detail,5212482,"Rental of buses and coaches, with operator","Rental or operating leasing services of buses or coaches with operator or driver for a period of time, not generally dependent on distance. The renter defines how and when the vehicles will be operated, determining schedules, routes, and other operational considerations."
2,Class,52131,Rail passenger transportation services,This class comprises interurban transportation of passengers by rail.
3,Subclass,521311,Rail passenger transportation services,This subclass comprises interurban transportation of passengers by rail.
4,Detail,5213111,"Passenger rail transportation services, business class","Interurban transportation of passengers by rail, with premium-quality amenities, without sleeping facilities. The fare is not subject to advance purchase requirements or restrictions on exchanges or refunds. Covers the transport of accompanying luggage and other items as well as sales to passengers and bulk purchases by tour operators of seats for resale; exclusive and non-exclusive car usage; and scheduled and non-scheduled services. May include a segment where transportation is by bus. Covers service paid for with a ticket or voucher from a book of tickets, or with a train pass."
4,Detail,5213112,"Passenger rail transportation services, economy/discounted economy classes","Interurban transportation of passengers by rail, with standard-quality amenities, without sleeping facilities. Food and beverages are available at an extra charge. Covers both economy and discounted economy classes; the latter offers the same amenities as the economy class but contains restrictions such as advance purchase and penalty charges for exchanges and refunds. Covers the transport of accompanying luggage and other items as well as sales to passengers and bulk purchases by tour operators of seats for resale; exclusive and non-exclusive car usage; and scheduled and non-scheduled services. May include a segment where transportation is by bus. Covers service paid for with a ticket or voucher from a book of tickets, or with a train pass."
4,Detail,5213113,"Passenger rail transportation services, sleeper class","Interurban transportation of passengers by rail, with accommodation in sleeping cars and premium-quality amenities. Covers the transport of accompanying luggage and other items as well as sales to passengers and bulk purchases by tour operators of seats for resale; exclusive and non-exclusive car usage; and scheduled and non-scheduled services. May include a segment where transportation is by bus. Covers service paid for with a ticket or voucher from a book of tickets, or with a train pass."
4,Detail,5213114,Private rail car hitching,Hitching of a privately-owned or rented rail car to a train. No services are provided inside the rail car.
2,Class,52141,Water passenger transportation services,This class comprises coastal and Great Lakes fixed route passenger transportation services by water; and other passenger transportation services by water. Rental and leasing services of water passenger transportation vessels with operator or crew are included.
3,Subclass,521411,Water passenger transportation services (except rental with operator),This subclass comprises coastal and Great Lakes fixed route passenger transportation services by water; and other passenger transportation services by water.
4,Detail,5214111,Coastal and Great Lakes fixed route passenger transportation services by water,"Transportation of passengers by water on fixed routes on coastal waters, the Great Lakes, the St. Lawrence Seaway or deep seas. Covers transportation of motor vehicles, baggage and sporting equipment accompanying passengers as well as optional accommodation such as cabin, berth or reclining sleeper seat."
4,Detail,5214112,Other passenger transportation services by water,"Transportation of passengers by water on fixed routes within harbours, transportation of passengers by water on fixed routes on inland waters except the Great Lakes and St. Lawrence Seaway, and transportation of passengers by water, not on fixed routes. Service may operate on a regular schedule or on demand. Service that is not on fixed routes often requires advance reservation."
3,Subclass,521412,Rental of water transportation equipment with operator,"This subclass comprises rental or leasing services of all types of self-propelled passenger vessels for coastal, transoceanic and inland water transport, with operator or crew."
4,Detail,5214121,Rental of water transportation equipment with operator,"Rental or leasing services of all types of self-propelled passenger vessels for coastal, transoceanic and inland water transport, with operator or crew."
2,Class,52151,Air passenger transportation services,This class comprises scheduled and chartered air passenger transportation services. Rental and leasing of passenger aircraft with operator or crew (wet and damp leasing) are included.
3,Subclass,521511,Scheduled air passenger transportation services (except wet and damp leasing),This subclass comprises transportation of passengers by air on a flight operated on a regular basis according to a published timetable.
4,Detail,5215111,"Scheduled air passenger transportation services, domestic",Transportation of passengers by air on a domestic scheduled flight.
4,Detail,5215112,"Scheduled air passenger transportation services, international",Transportation of passengers by air on an international scheduled flight.
3,Subclass,521512,Air passenger charter transportation services,"This subclass comprises rental and leasing of complete aircraft and crew, for the chartered or non-scheduled transportation of passengers and their accompanying baggage, equipment and supplies. Renters or lessees generally do not have operational control of the flights. Air charter services include air taxi, ad hoc air charter, frequent charter membership and full charter services. Full (public) air charter is a long-term renting of an entire aircraft, usually undertaken by tour operators, that require aircraft on a seasonal basis, but do not have the required infrastructure to operate their own aircraft."
4,Detail,5215121,"Air passenger charter transportation services, domestic","Rental and leasing of complete aircraft and crew, for the non-scheduled transportation of passengers and their accompanying baggage, equipment and supplies, within Canada. Covers positioning fees, layover fees, and pilot standby fees. Renters or lessees generally do not have operational control of the flights."
4,Detail,5215122,"Air passenger charter transportation services, international","Rental and leasing of complete aircraft and crew, for the non-scheduled transportation of passengers and their accompanying baggage, equipment and supplies, between Canada and other countries. Covers positioning fees, layover fees, and pilot standby fees. Renters or lessees generally do not have operational control of the flights."
3,Subclass,521513,Rental and leasing of passenger aircraft with operator or crew (except chartering),"This subclass comprises rental and leasing services of passenger aircraft or aircraft suitable for passenger and freight (including helicopters) with operator or crew (wet and damp leasing). A ''wet lease'' is a leasing arrangement whereby one ""airline"" or aircraft operator (the lessor) provides an aircraft, complete crew (''damp lease'' is with only cockpit crew), maintenance, and insurance (ACMI). These services are generally supplied on a time basis and several different destinations are frequently involved. The services may include providing fuel. Renters or lessees generally have operational control of the flights. The period of the rental or lease can go from one month to usually one to two years. Everything less than one month can be considered as ad-hoc charter services."
4,Detail,5215131,Rental and leasing of passenger aircraft with operator or crew (except chartering),"Rental and leasing services of passenger aircraft or aircraft suitable for passenger and freight (including helicopters) with operator or crew (wet and damp leasing). A ''wet lease'' is a leasing arrangement whereby one ""airline"" or aircraft operator (the lessor) provides an aircraft, complete crew (''damp lease'' is with only cockpit crew), maintenance, and insurance (ACMI). These services are generally supplied on a time basis and several different destinations are frequently involved. The services may include providing fuel. Renters or lessees generally have operational control of the flights. The period of the rental or lease can go from one month to usually one to two years. Everything less than one month can be considered as ad-hoc charter services."
2,Class,52161,Scenic and sightseeing tour services,"This class comprises services which take customers to areas of scenic, historical or cultural interest by rail, buses and other ground vehicles, water, and air, and/or use vintage or specialized equipment that is an attraction in itself. May include commentary, admission to sights or guided visits. These services are short-duration, not involving overnight accommodation."
3,Subclass,521611,Sightseeing services by rail,"This subclass comprises services by rail which take customers to areas of scenic, historical or cultural interest, and/or use vintage or specialized equipment such as steam trains, cog railways and monorails. May include commentary, admission to sights, guided visits, meals or entertainment. Covers dining trips and theatre trips. These services are short-duration, not involving overnight accommodation."
4,Detail,5216111,Sightseeing services by rail,"Services by rail which take customers to areas of scenic, historical or cultural interest, and/or use vintage or specialized equipment such as steam trains, cog railways and monorails. May include commentary, admission to sights, guided visits, meals or entertainment. Covers dining trips and theatre trips. These services are short-duration, not involving overnight accommodation."
3,Subclass,521612,Sightseeing services by buses and other ground vehicles,"This subclass comprises services by buses and other ground vehicles which take customers to areas of scenic, historical or cultural interest, and/or use vintage or specialized equipment that is an attraction in itself. Covers tours that permit clients to get off and board again when they wish. May include commentary, admission to sights, guided visits, meals or entertainment. These services are short-duration, not involving overnight accommodation."
4,Detail,5216121,Sightseeing services by buses and other ground vehicles,"Services by buses and other ground vehicles which take customers to areas of scenic, historical or cultural interest, and/or use vintage or specialized equipment that is an attraction in itself. Covers tours that permit clients to get off and board again when they wish. May include commentary, admission to sights, guided visits, meals or entertainment. These services are short-duration, not involving overnight accommodation."
3,Subclass,521613,Sightseeing services by water,"This subclass comprises services by water which take customers to areas of scenic, historical or cultural interest, and/or use vintage or specialized equipment that is an attraction in itself. May include commentary, admission to sights, guided visits, meals or entertainment. These services are short-duration, not involving overnight accommodation."
4,Detail,5216131,Sightseeing services by water,"Services by water which take customers to areas of scenic, historical or cultural interest, and/or use vintage or specialized equipment that is an attraction in itself. May include commentary, admission to sights, guided visits, meals or entertainment. These services are short-duration, not involving overnight accommodation."
3,Subclass,521614,Sightseeing services by air,"This subclass comprises services by air which take customers to areas of scenic, historical or cultural interest, and/or use vintage or specialized equipment that is an attraction in itself. May include commentary, admission to sights, guided visits, meals or entertainment. These services are short-duration, not involving overnight accommodation."
4,Detail,5216141,Sightseeing services by air,"Services by air which take customers to areas of scenic, historical or cultural interest, and/or use vintage or specialized equipment that is an attraction in itself. May include commentary, admission to sights, guided visits, meals or entertainment. These services are short-duration, not involving overnight accommodation."
1,Group,531,Transportation support services,"This group comprises road transportation support services; motor vehicle maintenance and repair services; rail transportation support, maintenance and repair services; water transportation support, maintenance and repair services; air transportation support services; aircraft maintenance and repair services; freight transportation arrangement and customs brokering services; and other transportation support services."
2,Class,53111,Road transportation support services,"This class comprises services in support of road transportation, such as access to toll roads; towing services; bus terminal services for intercity carriers; drayage services; and snow removal services for roads, highways and bridges."
3,Subclass,531111,Road transportation support services,"This subclass comprises services in support of road transportation, such as access to toll roads; towing services; bus terminal services for intercity carriers; drayage services; and snow removal services for roads, highways and bridges."
4,Detail,5311111,Road access services,"Access to bridges, tunnels and highways for which a toll is charged."
4,Detail,5311112,Road vehicle towing services,Towing of road motor vehicles.
4,Detail,5311113,Bus terminal services,Access for carriers to intercity bus stations.
4,Detail,5311114,Drayage,"Short movements of truck trailers or containers, by road, between or within terminals, yards or intermodal facilities, or across a border."
4,Detail,5311115,"Snow removal services for roads, highways and bridges","Snow removal services for roads, highways and bridges."
4,Detail,5311116,"Road transportation support services, n.e.c.","Support services for road transportation, n.e.c."
2,Class,53112,Motor vehicle maintenance and repair services,"This class comprises maintenance and repair services for automobiles and light trucks; maintenance and repair services for motor homes, travel trailers and campers; and maintenance and repair services for heavy trucks and buses."
3,Subclass,531121,Maintenance and repair services for automobiles and light trucks,This subclass comprises maintenance and repair services for automobiles and light trucks; washing and cleaning services for automobiles and light trucks; and regulatory safety and emissions inspection services for automobiles and light trucks.
4,Detail,5311211,"Maintenance and repair services for automobiles and light trucks (except washing and cleaning, and regulatory safety and emissions inspections)","Maintenance and repair services for automobiles and light trucks, except washing and cleaning, and regulatory safety and emissions inspections."
4,Detail,5311212,Washing and cleaning services for automobiles and light trucks,Washing and cleaning services for automobiles and light trucks.
4,Detail,5311213,Regulatory safety and emissions inspection services for automobiles and light trucks,"Safety inspections and emissions tests of automobiles and light trucks, to certify that they meet regulatory requirements."
3,Subclass,531122,"Maintenance and repair services for motor homes, travel trailers and campers","This subclass comprises maintenance and repair services for motor homes, travel trailers and campers."
4,Detail,5311221,"Maintenance and repair services for motor homes, travel trailers and campers","Maintenance and repair services for motor homes, travel trailers and campers."
3,Subclass,531123,Maintenance and repair services for heavy trucks and buses,This subclass comprises maintenance and repair services for heavy trucks and buses; washing and cleaning services for heavy trucks and buses; and regulatory safety and emissions inspection services for heavy trucks and buses.
4,Detail,5311231,"Maintenance and repair services for heavy trucks and buses (except washing and cleaning, and regulatory safety and emissions inspections)","Maintenance and repair services for heavy trucks and buses, except washing and cleaning, and regulatory safety and emissions inspections."
4,Detail,5311232,Washing and cleaning services for heavy trucks and buses,Washing and cleaning services for heavy trucks and buses.
4,Detail,5311233,Regulatory safety and emissions inspection services for heavy trucks and buses,"Safety inspections and emissions tests of heavy trucks and buses, to certify that they meet regulatory requirements."
2,Class,53121,"Rail transportation support, maintenance and repair services",This class comprises rail transportation support services; maintenance and repair of locomotives and rolling stock; and maintenance and repair and related services for railway tracks.
3,Subclass,531211,"Rail transportation support, maintenance and repair services",This subclass comprises rail transportation support services; maintenance and repair of locomotives and rolling stock; and maintenance and repair and related services for railway tracks.
4,Detail,5312111,Rail transportation support services,Rail transportation support services.
4,Detail,5312112,Maintenance and repair of locomotives and rolling stock,Maintenance and repair of locomotives and rolling stock.
4,Detail,5312113,Maintenance and repair and related services for railway tracks,"Providing maintenance and repair services (including installation of replacement parts) for railway tracks and equipment, except locomotives and rolling stock."
2,Class,53131,"Water transportation support, maintenance and repair services","This class comprises marine facility services; navigational services for marine vessels; marine salvage services; water transportation support services, n.e.c.; maintenance and repair of marine vessels; and marine vessel traffic reporting."
3,Subclass,531311,"Water transportation support, maintenance and repair services","This subclass comprises marine facility services; navigational services for marine vessels; marine salvage services; water transportation support services, n.e.c.; maintenance and repair of marine vessels; and marine vessel traffic reporting."
4,Detail,5313111,Marine facility services,"Access for marine vessels to ports, harbours, marine terminals, the St Lawrence Seaway and canals."
4,Detail,5313112,Navigational services for marine vessels,Navigational services for marine vessels.
4,Detail,5313113,Marine salvage services,Marine salvage services.
4,Detail,5313114,"Water transportation support services, n.e.c.","Services in support of water transportation, n.e.c."
4,Detail,5313115,Maintenance and repair of marine vessels,"Maintenance and repair of marine vessel performed in shipyards, land-based dry docks, floating dry docks, or by divers."
4,Detail,5313116,Marine vessel traffic reporting,Publication of information about commercial marine vessels and their movements.
2,Class,53141,Air transportation support services,This class comprises air terminal services; and other air transportation support services.
3,Subclass,531411,Air terminal services,This subclass comprises air traffic control and navigation services; fixed base operation (FBO) services; airport operation and administration; and aircraft parking services.
4,Detail,5314111,Air traffic control and navigation services,Air traffic control and navigation services.
4,Detail,5314112,Fixed base operation (FBO) services,Support services to general aviation aircraft and pilots.
4,Detail,5314113,Airport operation and administration services,"Allowing aircraft to take off and land, and providing aircraft operators with access to airport facilities."
4,Detail,5314114,Aircraft parking services,Housing of aircraft in hangar or on field.
3,Subclass,531412,Other air transportation support services,This subclass comprises other air transportation support services.
4,Detail,5314121,Other air transportation support services,Other air transportation support services.
2,Class,53142,Aircraft maintenance and repair services,This class comprises aircraft maintenance and repair services.
3,Subclass,531421,Aircraft maintenance and repair services,This subclass comprises aircraft maintenance and repair services.
4,Detail,5314211,Aircraft maintenance and repair services,Aircraft maintenance and repair services.
2,Class,53151,Freight transportation arrangement and customs brokering services,"This class comprises arranging the international or domestic transportation of goods on a fee for service basis, or facilitating the clearance of goods through customs on behalf of the importer or exporter of the goods. May include advising on regulations and preparing documentation."
3,Subclass,531511,Freight transportation arrangement services,"This subclass comprises arrangement of the international or domestic transportation of goods on a fee for service basis. May involve consolidating shipments. May include advising on packing, advising on import and other regulations, preparing documentation for customs and other requirements, arranging for customs brokerage, arranging for storage and distribution, and tracking shipments."
4,Detail,5315111,Freight transportation arrangement services,"Arrangement of the international or domestic transportation of goods on a fee for service basis. May involve consolidating shipments. May include advising on packing, advising on import and other regulations, preparing documentation for customs and other requirements, arranging for customs brokerage, arranging for storage and distribution, and tracking shipments."
3,Subclass,531512,Customs brokering services,"This subclass comprises facilitating the clearance of goods through customs on behalf of the importer or exporter of the goods. Covers preparing documentation related to a shipment, paying duties and obtaining release of goods."
4,Detail,5315121,Customs brokering services,"Facilitating the clearance of goods through customs on behalf of the importer or exporter of the goods. Covers preparing documentation related to a shipment, paying duties and obtaining release of goods."
2,Class,53152,Other transportation support services,"This class comprises packing and crating services for transportation or storage; liquefaction and regasification of natural gas; freight loading and unloading services; carpool and vanpool coordination services; and transportation support services, n.e.c."
3,Subclass,531521,Other transportation support services,"This subclass comprises packing and crating services for transportation or storage; liquefaction and regasification of natural gas; freight loading and unloading services; carpool and vanpool coordination services; and transportation support services, n.e.c."
4,Detail,5315211,Packing and crating services for transportation or storage,Packing and crating of goods for transportation or storage.
4,Detail,5315212,Liquefaction and regasification of natural gas,Liquefaction and regasification of natural gas.
4,Detail,5315213,Freight loading and unloading services,"Loading onto, and unloading freight from, transportation equipment."
4,Detail,5315214,Carpool and vanpool coordination services,Facilitating contacts among people wishing to organize or join a carpool or vanpool.
4,Detail,5315215,"Transportation support services, n.e.c.","Transportation support services, n.e.c."
1,Group,541,Warehousing and storage services,This group comprises grain storage services and warehousing and storage services for other goods.
2,Class,54111,Grain storage,This class comprises storage and safekeeping of grain.
3,Subclass,541111,Grain storage,This subclass comprises storage and safekeeping of grain.
4,Detail,5411111,Grain storage,Storage and safekeeping of grain.
2,Class,54112,Warehousing and storage services (except grain storage),This class comprises storage and safekeeping of goods other than grain.
3,Subclass,541121,Warehousing and storage services (except grain storage),This subclass comprises storage and safekeeping of goods other than grain.
4,Detail,5411211,Warehousing and storage services (except grain storage),Storage and safekeeping of goods other than grain.
1,Group,551,Wholesale services (except commissions),"This group comprises the services of buying and selling merchandise on own account at an intermediate step in the distribution chain. Wholesale services bundled with services incidental to the own account sale of merchandise such as logistics, inventory management, marketing services, packaging and labeling, handling of warranty claims, in-store or co-op promotions, and product training are also included."
2,Class,55111,Farm products at wholesale,This class comprises wholesaling services for live animals; oilseeds and grains; nursery stock and live plants; and other farm products.
3,Subclass,551111,Live animals at wholesale,This subclass comprises wholesaling services for household pets; and livestock.
4,Detail,5511111,Household pets at wholesale,Wholesaling services for live household pets.
4,Detail,5511112,Livestock (except pets) at wholesale,"Wholesaling services for livestock and other live animals, except pets."
3,Subclass,551112,"Oilseeds and grains, at wholesale",This subclass comprises wholesaling services for oilseeds and grains.
4,Detail,5511121,"Oilseeds and grains, at wholesale",Wholesaling services for oilseeds and grains.
3,Subclass,551113,"Nursery stock and live plants, at wholesale","This subclass comprises wholesaling services for nursery stock and live plants. Nursery stock refers to plants intended for planting, including roots, bulbs and tubers. Live plants comprise flowers, trees and bushes, and may be sold cut or in pot."
4,Detail,5511131,"Nursery stock and live plants, at wholesale","Wholesaling services for nursery stock and live plants. Nursery stock refers to plants intended for planting, including roots, bulbs and tubers. Live plants comprise flowers, trees and bushes, and may be sold cut or in pot."
3,Subclass,551114,Other farm products at wholesale,"This subclass comprises wholesaling services for leaf tobacco, including stemmed and dried; raw wool, animal hair and silk; animal hides, skins and pelts; and raw farm products n.e.c., except oilseeds and grains."
4,Detail,5511141,Leaf tobacco (including stemmed and dried) at wholesale,"Wholesaling services for leaf tobacco, including stemmed and dried."
4,Detail,5511142,"Raw wool, animal hair and silk, at wholesale","Wholesaling services for raw wool, animal hair and silk."
4,Detail,5511143,"Animal hides, skins and pelts, at wholesale","Wholesaling services for animal hides, skins and pelts."
4,Detail,5511144,Raw farm products n.e.c. (except oilseeds and grains) at wholesale,"Wholesaling services for raw farm products n.e.c., except oilseeds and grains."
2,Class,55112,"Petroleum and petroleum products, at wholesale","This class comprises wholesaling services for crude petroleum oil; automotive fuels; other fuels; lubricating oils and greases; and other petroleum products, n.e.c."
3,Subclass,551121,"Petroleum and petroleum products, at wholesale","This subclass comprises wholesaling services for crude petroleum oil; automotive fuels; other fuels; lubricating oils and greases; and other petroleum products, n.e.c."
4,Detail,5511211,Crude petroleum oil at wholesale,Wholesaling services for crude petroleum oil.
4,Detail,5511212,Automotive fuels at wholesale,Wholesaling services for automotive fuels.
4,Detail,5511213,Other fuels at wholesale,Wholesaling services for fuels other than for automotive.
4,Detail,5511214,"Lubricating oils and greases, at wholesale",Wholesaling services for lubricating oils and greases made from petroleum.
4,Detail,5511215,"Other petroleum products, n.e.c., at wholesale","Wholesaling services for other petroleum products, n.e.c."
2,Class,55113,"Food, beverages, and tobacco products, at wholesale","This class comprises wholesaling services for fresh meat and meat products, except canned and frozen; dairy products, except dried, canned, condensed, and evaporated; poultry and eggs; fresh fish and other fresh seafood; fresh fruit and vegetables; other foods; non-alcoholic beverages, except coffee and tea; alcoholic beverages; and tobacco products and accessories, except raw tobacco."
3,Subclass,551131,"Fresh meat and meat products (except canned and frozen), at wholesale","This subclass comprises wholesaling services for fresh meat and meat products, except canned and frozen."
4,Detail,5511311,"Fresh meat and meat products (except canned and frozen), at wholesale","Wholesaling services for fresh meat and meat products, except canned and frozen."
3,Subclass,551132,"Dairy products (except dried, canned, condensed, and evaporated) at wholesale","This subclass comprises wholesaling services for dairy products, except dried, canned, condensed, and evaporated."
